year,category,name,film,result
1930,Actor,Warner Baxter,In Old Arizona,Winner
1930,Actor,George Bancroft,Thunderbolt,Nominee
1930,Actor,Chester Morris,Alibi,Nominee
1930,Actor,Paul Muni,The Valiant,Nominee
1930,Actor,Lewis Stone,The Patriot,Nominee
1930,Actress,Mary Pickford,Coquette,Winner
1930,Actress,Ruth Chatterton,Madame X,Nominee
1930,Actress,Betty Compson,The Barker,Nominee
1930,Actress,Jeanne Eagels,The Letter,Nominee
1930,Actress,Corinne Griffith,The Divine Lady,Nominee
1930,Actress,Bessie Love,The Broadway Melody,Nominee
1930,Directing,Frank Lloyd,The Divine Lady,Winner
1930,Directing,Lionel Barrymore,Madame X,Nominee
1930,Directing,Harry Beaumont,The Broadway Melody,Nominee
1930,Directing,Irving Cummings,In Old Arizona,Nominee
1930,Directing,Frank Lloyd,Drag,Nominee
1930,Directing,Frank Lloyd,Weary River,Nominee
1930,Directing,Ernst Lubitsch,The Patriot,Nominee
1931,Actor,George Arliss,Disraeli,Winner
1931,Actor,George Arliss,The Green Goddess,Nominee
1931,Actor,Wallace Beery,The Big House,Nominee
1931,Actor,Maurice Chevalier,The Big Pond,Nominee
1931,Actor,Maurice Chevalier,The Love Parade,Nominee
1931,Actor,Ronald Colman,Bulldog Drummond,Nominee
1931,Actor,Ronald Colman,Condemned,Nominee
1931,Actor,Lawrence Tibbett,The Rogue Song,Nominee
1931,Actress,Norma Shearer,The Divorcee,Winner
1931,Actress,Nancy Carroll,The Devil's Holiday,Nominee
1931,Actress,Ruth Chatterton,Sarah and Son,Nominee
1931,Actress,Greta Garbo,Anna Christie,Nominee
1931,Actress,Greta Garbo,Romance,Nominee
1931,Actress,Norma Shearer,Their Own Desire,Nominee
1931,Actress,Gloria Swanson,The Trespasser,Nominee
1931,Directing,Lewis Milestone,All Quiet on the Western Front,Winner
1931,Directing,Clarence Brown,Anna Christie,Nominee
1931,Directing,Clarence Brown,Romance,Nominee
1931,Directing,Robert Leonard,The Divorcee,Nominee
1931,Directing,Ernst Lubitsch,The Love Parade,Nominee
1931,Directing,King Vidor,Hallelujah,Nominee
1932,Actor,Lionel Barrymore,A Free Soul,Winner
1932,Actor,Jackie Cooper,Skippy,Nominee
1932,Actor,Richard Dix,Cimarron,Nominee
1932,Actor,Fredric March,The Royal Family of Broadway,Nominee
1932,Actor,Adolphe Menjou,The Front Page,Nominee
1932,Actress,Marie Dressler,Min and Bill,Winner
1932,Actress,Marlene Dietrich,Morocco,Nominee
1932,Actress,Irene Dunne,Cimarron,Nominee
1932,Actress,Ann Harding,Holiday,Nominee
1932,Actress,Norma Shearer,A Free Soul,Nominee
1932,Directing,Norman Taurog,Skippy,Winner
1932,Directing,Wesley Ruggles,Cimarron,Nominee
1932,Directing,Clarence Brown,A Free Soul,Nominee
1932,Directing,Lewis Milestone,The Front Page,Nominee
1932,Directing,Josef Von Sternberg,Morocco,Nominee
1933,Actor,Wallace Beery,The Champ,Tie-winner
1933,Actor,Fredric March,The Champ,Tie-winner
1933,Actor,Alfred Lunt,The Guardsman,Nominee
1933,Actress,Helen Hayes,The Sin of Madelon Claudet,Winner
1933,Actress,Marie Dressler,Emma,Nominee
1933,Actress,Lynn Fontanne,The Guardsman,Nominee
1933,Directing,Frank Borzage,Bad Girl,Winner
1933,Directing,King Vidor,The Champ,Nominee
1933,Directing,Josef Von Sternberg,Shanghai Express,Nominee
1934,Actor,Charles Laughton,The Private Life of Henry VIII,Winner
1934,Actor,Leslie Howard,Berkeley Square,Nominee
1934,Actor,Paul Muni,I Am a Fugitive from a Chain Gang,Nominee
1934,Actress,Katharine Hepburn,Morning Glory,Winner
1934,Actress,May Robson,Lady for a Day,Nominee
1934,Actress,Diana Wynyard,Cavalcade,Nominee
1934,Directing,Frank Lloyd,Cavalcade,Winner
1934,Directing,Frank Capra,Lady for a Day,Nominee
1934,Directing,George Cukor,Little Women,Nominee
1935,Actor,Clark Gable,It Happened One Night,Winner
1935,Actor,Frank Morgan,The Affairs of Cellini,Nominee
1935,Actor,William Powell,The Thin Man,Nominee
1935,Actress,Claudette Colbert,It Happened One Night,Winner
1935,Actress,Bette Davis,Of Human Bondage,Nominee
1935,Actress,Grace Moore,One Night of Love,Nominee
1935,Actress,Norma Shearer,The Barretts of Wimpole Street,Nominee
1935,Directing,Frank Capra,It Happened One Night,Winner
1935,Directing,Victor Schertzinger,One Night of Love,Nominee
1935,Directing,W. S. Van Dyke,The Thin Man,Nominee
1936,Actor,Victor McLaglen,The Informer,Winner
1936,Actor,Clark Gable,Mutiny on the Bounty,Nominee
1936,Actor,Charles Laughton,Mutiny on the Bounty,Nominee
1936,Actor,Paul Muni,Black Fury,Nominee
1936,Actor,Franchot Tone,Mutiny on the Bounty,Nominee
1936,Actress,Bette Davis,Dangerous,Winner
1936,Actress,Elisabeth Bergner,Escape Me Never,Nominee
1936,Actress,Claudette Colbert,Private Worlds,Nominee
1936,Actress,Katharine Hepburn,Alice Adams,Nominee
1936,Actress,Miriam Hopkins,Becky Sharp,Nominee
1936,Actress,Merle Oberon,The Dark Angel,Nominee
1936,Directing,John Ford,The Informer,Winner
1936,Directing,Michael Curtiz,Captain Blood,Nominee
1936,Directing,Henry Hathaway,The Lives of a Bengal Lancer,Nominee
1936,Directing,Frank Lloyd,Mutiny on the Bounty,Nominee
1937,Actor,Paul Muni,The Story of Louis Pasteur,Winner
1937,Actor,Gary Cooper,Mr. Deeds Goes to Town,Nominee
1937,Actor,Walter Huston,Dodsworth,Nominee
1937,Actor,William Powell,My Man Godfrey,Nominee
1937,Actor,Spencer Tracy,San Francisco,Nominee
1937,Actress,Luise Rainer,The Great Ziegfeld,Winner
1937,Actress,Irene Dunne,Theodora Goes Wild,Nominee
1937,Actress,Gladys George,Valiant Is the Word for Carrie,Nominee
1937,Actress,Carole Lombard,My Man Godfrey,Nominee
1937,Actress,Norma Shearer,Romeo and Juliet,Nominee
1937,Directing,Frank Capra,Mr. Deeds Goes to Town,Winner
1937,Directing,William Wyler,Dodsworth,Nominee
1937,Directing,Robert Z. Leonard,The Great Ziegfeld,Nominee
1937,Directing,Gregory La Cava,My Man Godfrey,Nominee
1937,Directing,W. S. Van Dyke,San Francisco,Nominee
1938,Actor,Spencer Tracy,Captains Courageous,Winner
1938,Actor,Charles Boyer,Conquest,Nominee
1938,Actor,Fredric March,A Star Is Born,Nominee
1938,Actor,Robert Montgomery,Night Must Fall,Nominee
1938,Actor,Paul Muni,The Life of Emile Zola,Nominee
1938,Actress,Luise Rainer,The Good Earth,Winner
1938,Actress,Irene Dunne,The Awful Truth,Nominee
1938,Actress,Greta Garbo,Camille,Nominee
1938,Actress,Janet Gaynor,A Star Is Born,Nominee
1938,Actress,Barbara Stanwyck,Stella Dallas,Nominee
1938,Directing,Leo McCarey,The Awful Truth,Winner
1938,Directing,Sidney Franklin,The Good Earth,Nominee
1938,Directing,William Dieterle,The Life of Emile Zola,Nominee
1938,Directing,Gregory La Cava,Stage Door,Nominee
1938,Directing,William Wellman,A Star Is Born,Nominee
1939,Actor,Spencer Tracy,Boys Town,Winner
1939,Actor,Charles Boyer,Algiers,Nominee
1939,Actor,James Cagney,Angels with Dirty Faces,Nominee
1939,Actor,Robert Donat,The Citadel,Nominee
1939,Actor,Leslie Howard,Pygmalion,Nominee
1939,Actress,Bette Davis,Jezebel,Winner
1939,Actress,Fay Bainter,White Banners,Nominee
1939,Actress,Wendy Hiller,Pygmalion,Nominee
1939,Actress,Norma Shearer,Marie Antoinette,Nominee
1939,Actress,Margaret Sullavan,Three Comrades,Nominee
1939,Directing,Frank Capra,You Can't Take It with You,Winner
1939,Directing,Michael Curtiz,Angels with Dirty Faces,Nominee
1939,Directing,Norman Taurog,Boys Town,Nominee
1939,Directing,King Vidor,The Citadel,Nominee
1939,Directing,Michael Curtiz,Four Daughters,Nominee
1940,Actor,Robert Donat,"Goodbye, Mr. Chips",Winner
1940,Actor,Clark Gable,Gone with the Wind,Nominee
1940,Actor,Laurence Olivier,Wuthering Heights,Nominee
1940,Actor,Mickey Rooney,Babes in Arms,Nominee
1940,Actor,James Stewart,Mr. Smith Goes to Washington,Nominee
1940,Actress,Vivien Leigh,Gone with the Wind,Winner
1940,Actress,Bette Davis,Dark Victory,Nominee
1940,Actress,Irene Dunne,Love Affair,Nominee
1940,Actress,Greta Garbo,Ninotchka,Nominee
1940,Actress,Greer Garson,"Goodbye, Mr. Chips",Nominee
1940,Directing,Victor Fleming,Gone with the Wind,Winner
1940,Directing,Sam Wood,"Goodbye, Mr. Chips",Nominee
1940,Directing,Frank Capra,Mr. Smith Goes to Washington,Nominee
1940,Directing,John Ford,Stagecoach,Nominee
1940,Directing,William Wyler,Wuthering Heights,Nominee
1941,Actor,James Stewart,The Philadelphia Story,Winner
1941,Actor,Charles Chaplin,The Great Dictator,Nominee
1941,Actor,Henry Fonda,The Grapes of Wrath,Nominee
1941,Actor,Raymond Massey,Abe Lincoln in Illinois,Nominee
1941,Actor,Laurence Olivier,Rebecca,Nominee
1941,Actress,Ginger Rogers,Kitty Foyle,Winner
1941,Actress,Bette Davis,The Letter,Nominee
1941,Actress,Joan Fontaine,Rebecca,Nominee
1941,Actress,Katharine Hepburn,The Philadelphia Story,Nominee
1941,Actress,Martha Scott,Our Town,Nominee
1941,Directing,John Ford,The Grapes of Wrath,Winner
1941,Directing,Sam Wood,Kitty Foyle,Nominee
1941,Directing,William Wyler,The Letter,Nominee
1941,Directing,George Cukor,The Philadelphia Story,Nominee
1941,Directing,Alfred Hitchcock,Rebecca,Nominee
1942,Actor,Gary Cooper,Sergeant York,Winner
1942,Actor,Cary Grant,Penny Serenade,Nominee
1942,Actor,Walter Huston,All That Money Can Buy,Nominee
1942,Actor,Robert Montgomery,Here Comes Mr. Jordan,Nominee
1942,Actor,Orson Welles,Citizen Kane,Nominee
1942,Actress,Joan Fontaine,Suspicion,Winner
1942,Actress,Bette Davis,The Little Foxes,Nominee
1942,Actress,Olivia de Havilland,Hold Back the Dawn,Nominee
1942,Actress,Greer Garson,Blossoms in the Dust,Nominee
1942,Actress,Barbara Stanwyck,Ball of Fire,Nominee
1942,Directing,John Ford,How Green Was My Valley,Winner
1942,Directing,Orson Welles,Citizen Kane,Nominee
1942,Directing,Alexander Hall,Here Comes Mr. Jordan,Nominee
1942,Directing,William Wyler,The Little Foxes,Nominee
1942,Directing,Howard Hawks,Sergeant York,Nominee
1943,Actor,James Cagney,Yankee Doodle Dandy,Winner
1943,Actor,Ronald Colman,Random Harvest,Nominee
1943,Actor,Gary Cooper,The Pride of the Yankees,Nominee
1943,Actor,Walter Pidgeon,Mrs. Miniver,Nominee
1943,Actor,Monty Woolley,The Pied Piper,Nominee
1943,Actress,Greer Garson,Mrs. Miniver,Winner
1943,Actress,Bette Davis,"Now, Voyager",Nominee
1943,Actress,Katharine Hepburn,Woman of the Year,Nominee
1943,Actress,Rosalind Russell,My Sister Eileen,Nominee
1943,Actress,Teresa Wright,The Pride of the Yankees,Nominee
1943,Directing,William Wyler,Mrs. Miniver,Winner
1943,Directing,Sam Wood,Kings Row,Nominee
1943,Directing,Mervyn LeRoy,Random Harvest,Nominee
1943,Directing,John Farrow,Wake Island,Nominee
1943,Directing,Michael Curtiz,Yankee Doodle Dandy,Nominee
1944,Actor,Paul Lukas,Watch on the Rhine,Winner
1944,Actor,Humphrey Bogart,Casablanca,Nominee
1944,Actor,Gary Cooper,For Whom the Bell Tolls,Nominee
1944,Actor,Walter Pidgeon,Madame Curie,Nominee
1944,Actor,Mickey Rooney,The Human Comedy,Nominee
1944,Actress,Jennifer Jones,The Song of Bernadette,Winner
1944,Actress,Jean Arthur,The More the Merrier,Nominee
1944,Actress,Ingrid Bergman,For Whom the Bell Tolls,Nominee
1944,Actress,Joan Fontaine,The Constant Nymph,Nominee
1944,Actress,Greer Garson,Madame Curie,Nominee
1944,Directing,Michael Curtiz,Casablanca,Winner
1944,Directing,Ernst Lubitsch,Heaven Can Wait,Nominee
1944,Directing,Clarence Brown,The Human Comedy,Nominee
1944,Directing,George Stevens,The More the Merrier,Nominee
1944,Directing,Henry King,The Song of Bernadette,Nominee
1945,Actor,Bing Crosby,Going My Way,Winner
1945,Actor,Charles Boyer,Gaslight,Nominee
1945,Actor,Barry Fitzgerald,Going My Way,Nominee
1945,Actor,Cary Grant,None but the Lonely Heart,Nominee
1945,Actor,Alexander Knox,Wilson,Nominee
1945,Actress,Ingrid Bergman,Gaslight,Winner
1945,Actress,Claudette Colbert,Since You Went Away,Nominee
1945,Actress,Bette Davis,Mr. Skeffington,Nominee
1945,Actress,Greer Garson,Mrs. Parkington,Nominee
1945,Actress,Barbara Stanwyck,Double Indemnity,Nominee
1945,Directing,Leo McCarey,Going My Way,Winner
1945,Directing,Billy Wilder,Double Indemnity,Nominee
1945,Directing,Otto Preminger,Laura,Nominee
1945,Directing,Alfred Hitchcock,Lifeboat,Nominee
1945,Directing,Henry King,Wilson,Nominee
1946,Actor,Ray Milland,The Lost Weekend,Winner
1946,Actor,Bing Crosby,The Bells of St. Mary's,Nominee
1946,Actor,Gene Kelly,Anchors Aweigh,Nominee
1946,Actor,Gregory Peck,The Keys of the Kingdom,Nominee
1946,Actor,Cornel Wilde,A Song to Remember,Nominee
1946,Actress,Joan Crawford,Mildred Pierce,Winner
1946,Actress,Ingrid Bergman,The Bells of St. Mary's,Nominee
1946,Actress,Greer Garson,The Valley of Decision,Nominee
1946,Actress,Jennifer Jones,Love Letters,Nominee
1946,Actress,Gene Tierney,Leave Her to Heaven,Nominee
1946,Directing,Billy Wilder,The Lost Weekend,Winner
1946,Directing,Leo McCarey,The Bells of St. Mary's,Nominee
1946,Directing,Clarence Brown,National Velvet,Nominee
1946,Directing,Jean Renoir,The Southerner,Nominee
1946,Directing,Alfred Hitchcock,Spellbound,Nominee
1947,Actor,Fredric March,The Best Years of Our Lives,Winner
1947,Actor,Laurence Olivier,Henry V,Nominee
1947,Actor,Larry Parks,The Jolson Story,Nominee
1947,Actor,Gregory Peck,The Yearling,Nominee
1947,Actor,James Stewart,It's a Wonderful Life,Nominee
1947,Actress,Olivia de Havilland,To Each His Own,Winner
1947,Actress,Celia Johnson,Brief Encounter,Nominee
1947,Actress,Jennifer Jones,Duel in the Sun,Nominee
1947,Actress,Rosalind Russell,Sister Kenny,Nominee
1947,Actress,Jane Wyman,The Yearling,Nominee
1947,Directing,William Wyler,The Best Years of Our Lives,Winner
1947,Directing,David Lean,Brief Encounter,Nominee
1947,Directing,Frank Capra,It's a Wonderful Life,Nominee
1947,Directing,Robert Siodmak,The Killers,Nominee
1947,Directing,Clarence Brown,The Yearling,Nominee
1948,Actor,Ronald Colman,A Double Life,Winner
1948,Actor,John Garfield,Body and Soul,Nominee
1948,Actor,Gregory Peck,Gentleman's Agreement,Nominee
1948,Actor,William Powell,Life with Father,Nominee
1948,Actor,Michael Redgrave,Mourning Becomes Electra,Nominee
1948,Actress,Loretta Young,The Farmer's Daughter,Winner
1948,Actress,Joan Crawford,Possessed,Nominee
1948,Actress,Susan Hayward,Smash-Up--The Story of a Woman,Nominee
1948,Actress,Dorothy McGuire,Gentleman's Agreement,Nominee
1948,Actress,Rosalind Russell,Mourning Becomes Electra,Nominee
1948,Directing,Elia Kazan,Gentleman's Agreement,Winner
1948,Directing,Henry Koster,The Bishop's Wife,Nominee
1948,Directing,Edward Dmytryk,Crossfire,Nominee
1948,Directing,George Cukor,A Double Life,Nominee
1948,Directing,David Lean,Great Expectations,Nominee
1949,Actor,Laurence Olivier,Hamlet,Winner
1949,Actor,Lew Ayres,Johnny Belinda,Nominee
1949,Actor,Montgomery Clift,The Search,Nominee
1949,Actor,Dan Dailey,When My Baby Smiles at Me,Nominee
1949,Actor,Clifton Webb,Sitting Pretty,Nominee
1949,Actress,Jane Wyman,Johnny Belinda,Winner
1949,Actress,Ingrid Bergman,Joan of Arc,Nominee
1949,Actress,Olivia de Havilland,The Snake Pit,Nominee
1949,Actress,Irene Dunne,I Remember Mama,Nominee
1949,Actress,Barbara Stanwyck,"Sorry, Wrong Number",Nominee
1949,Directing,John Huston,The Treasure of the Sierra Madre,Winner
1949,Directing,Laurence Olivier,Hamlet,Nominee
1949,Directing,Jean Negulesco,Johnny Belinda,Nominee
1949,Directing,Fred Zinnemann,The Search,Nominee
1949,Directing,Anatole Litvak,The Snake Pit,Nominee
1950,Actor,Broderick Crawford,All the King's Men,Winner
1950,Actor,Kirk Douglas,Champion,Nominee
1950,Actor,Gregory Peck,Twelve O'Clock High,Nominee
1950,Actor,Richard Todd,The Hasty Heart,Nominee
1950,Actor,John Wayne,Sands of Iwo Jima,Nominee
1950,Actress,Olivia de Havilland,The Heiress,Winner
1950,Actress,Jeanne Crain,Pinky,Nominee
1950,Actress,Susan Hayward,My Foolish Heart,Nominee
1950,Actress,Deborah Kerr,"Edward, My Son",Nominee
1950,Actress,Loretta Young,Come to the Stable,Nominee
1950,Directing,Joseph L. Mankiewicz,A Letter to Three Wives,Winner
1950,Directing,Robert Rossen,All the King's Men,Nominee
1950,Directing,William A. Wellman,Battleground,Nominee
1950,Directing,Carol Reed,The Fallen Idol,Nominee
1950,Directing,William Wyler,The Heiress,Nominee
1951,Actor,José Ferrer,Cyrano de Bergerac,Winner
1951,Actor,Louis Calhern,The Magnificent Yankee,Nominee
1951,Actor,William Holden,Sunset Blvd.,Nominee
1951,Actor,James Stewart,Harvey,Nominee
1951,Actor,Spencer Tracy,Father of the Bride,Nominee
1951,Actress,Judy Holliday,Born Yesterday,Winner
1951,Actress,Anne Baxter,All about Eve,Nominee
1951,Actress,Bette Davis,All about Eve,Nominee
1951,Actress,Eleanor Parker,Caged,Nominee
1951,Actress,Gloria Swanson,Sunset Blvd.,Nominee
1951,Directing,Joseph L. Mankiewicz,All about Eve,Winner
1951,Directing,John Huston,The Asphalt Jungle,Nominee
1951,Directing,George Cukor,Born Yesterday,Nominee
1951,Directing,Billy Wilder,Sunset Blvd.,Nominee
1951,Directing,Carol Reed,The Third Man,Nominee
1952,Actor,Humphrey Bogart,The African Queen,Winner
1952,Actor,Marlon Brando,A Streetcar Named Desire,Nominee
1952,Actor,Montgomery Clift,A Place in the Sun,Nominee
1952,Actor,Arthur Kennedy,Bright Victory,Nominee
1952,Actor,Fredric March,Death of a Salesman,Nominee
1952,Actress,Vivien Leigh,A Streetcar Named Desire,Winner
1952,Actress,Katharine Hepburn,The African Queen,Nominee
1952,Actress,Eleanor Parker,Detective Story,Nominee
1952,Actress,Shelley Winters,A Place in the Sun,Nominee
1952,Actress,Jane Wyman,The Blue Veil,Nominee
1952,Directing,George Stevens,A Place in the Sun,Winner
1952,Directing,John Huston,The African Queen,Nominee
1952,Directing,Vincente Minnelli,An American in Paris,Nominee
1952,Directing,William Wyler,Detective Story,Nominee
1952,Directing,Elia Kazan,A Streetcar Named Desire,Nominee
1953,Actor,Gary Cooper,High Noon,Winner
1953,Actor,Marlon Brando,Viva Zapata!,Nominee
1953,Actor,Kirk Douglas,The Bad and the Beautiful,Nominee
1953,Actor,José Ferrer,Moulin Rouge,Nominee
1953,Actor,Alec Guinness,The Lavender Hill Mob,Nominee
1953,Actress,Shirley Booth,"Come Back, Little Sheba",Winner
1953,Actress,Joan Crawford,Sudden Fear,Nominee
1953,Actress,Bette Davis,The Star,Nominee
1953,Actress,Julie Harris,The Member of the Wedding,Nominee
1953,Actress,Susan Hayward,With a Song in My Heart,Nominee
1953,Directing,John Ford,The Quiet Man,Winner
1953,Directing,Joseph L. Mankiewicz,Five Fingers,Nominee
1953,Directing,Cecil B. DeMille,The Greatest Show on Earth,Nominee
1953,Directing,Fred Zinnemann,High Noon,Nominee
1953,Directing,John Huston,Moulin Rouge,Nominee
1954,Actor,William Holden,Stalag 17,Winner
1954,Actor,Marlon Brando,Julius Caesar,Nominee
1954,Actor,Richard Burton,The Robe,Nominee
1954,Actor,Montgomery Clift,From Here to Eternity,Nominee
1954,Actor,Burt Lancaster,From Here to Eternity,Nominee
1954,Actress,Audrey Hepburn,Roman Holiday,Winner
1954,Actress,Leslie Caron,Lili,Nominee
1954,Actress,Ava Gardner,Mogambo,Nominee
1954,Actress,Deborah Kerr,From Here to Eternity,Nominee
1954,Actress,Maggie McNamara,The Moon Is Blue,Nominee
1954,Directing,Fred Zinnemann,From Here to Eternity,Winner
1954,Directing,Charles Walters,Lili,Nominee
1954,Directing,William Wyler,Roman Holiday,Nominee
1954,Directing,George Stevens,Shane,Nominee
1954,Directing,Billy Wilder,Stalag 17,Nominee
1955,Actor,Marlon Brando,On the Waterfront,Winner
1955,Actor,Humphrey Bogart,The Caine Mutiny,Nominee
1955,Actor,Bing Crosby,The Country Girl,Nominee
1955,Actor,James Mason,A Star Is Born,Nominee
1955,Actor,Dan O'Herlihy,Adventures of Robinson Crusoe,Nominee
1955,Actress,Grace Kelly,The Country Girl,Winner
1955,Actress,Dorothy Dandridge,Carmen Jones,Nominee
1955,Actress,Judy Garland,A Star Is Born,Nominee
1955,Actress,Audrey Hepburn,Sabrina,Nominee
1955,Actress,Jane Wyman,Magnificent Obsession,Nominee
1955,Directing,Elia Kazan,On the Waterfront,Winner
1955,Directing,George Seaton,The Country Girl,Nominee
1955,Directing,William Wellman,The High and the Mighty,Nominee
1955,Directing,Alfred Hitchcock,Rear Window,Nominee
1955,Directing,Billy Wilder,Sabrina,Nominee
1956,Actor,Ernest Borgnine,Marty,Winner
